"Title","Abstract","PID"
"Unsatisfying antiviral therapeutic effect in patients with mother-to-child transmissed chronic hepatitis B virus infection: a prospective multi-center clinical study.","BACKGROUND: Few data are available regarding the progression of liver disease and therapeutic efficacy in chronic hepatitis B virus (HBV) carriers infected by mother-to-child transmission (MTCT). This study aimed to investigate these two aspects by comparing the adult chronic HBV carriers in MTCT group with those in horizontal transmission group.METHODS: The 683 adult chronic HBV patients qualified for liver biopsy including 191 with MTCT and 492 with horizontal transmission entered the multi-center prospective study from October 2013 to May 2016. Biopsy results from 217 patients at baseline and 78 weeks post antiviral therapy were collected.RESULTS: Patients infected by MTCT were more likely to have e antigen positive (68.6% vs. 58.2%, <U+03C7><U+200A>=<U+200A>-2.491, P<U+200A>=<U+200A>0.012) than those with horizontal transmission. However, in patients with MTCT, levels of alkaline phosphatase (ALP) (P<U+200A>=<U+200A>0.031), Fibroscan (P<U+200A>=<U+200A>0.013), N-terminal propeptide of Type III procollagen (PIIINP) (P<U+200A>=<U+200A>0.014), and Laminin (LN) (P<U+200A>=<U+200A>0.006) were high, in contrast to the patients with horizontal transmission for whom the levels of albumin (ALB) (P<U+200A>=<U+200A>0.041), matrix metalloproteinase-3 (MMP-3) (P<U+200A>=<U+200A>0.001) were high. The 47.2% of patients with MTCT and 36.8% of those with horizontal transmission had significant liver fibrosis (P<U+200A>=<U+200A>0.013). Following antiviral therapy for 78 weeks, 21.2% and 38.0% patients with MTCT and horizontal transmission acquired hepatitis B e antigen (HBeAg) clearance, respectively (P<U+200A>=<U+200A>0.043), and the virological response rates were 54.7% and 74.1% in the MTCT and horizontal groups, respectively (P<U+200A>=<U+200A>0.005). MTCT was a risk factor for HBeAg clearance and virological response.CONCLUSION: Adult patients with MTCT were more prone to severe liver diseases, and the therapeutic efficacy was relatively poor, which underlined the importance of earlier, long-term treatment and interrupting perinatal transmission.TRIAL REGISTRATION: NCT01962155; https://clinicaltrials.gov.","31725459"
"Response to the comment on &quot;Mother-to-child transmission of hepatitis B virus after amniocentesis: A retrospective matched cohort study&quot;.","","31659780"
"Comment on &quot;Mother-to-child transmission of hepatitis B virus after amniocentesis: A retrospective matched cohort study&quot;.","","31646660"
"Integrated model for end-stage liver disease maybe superior to some other model for end-stage liver disease-based systems in addition to Child-Turcotte-Pugh and albumin-bilirubin scores in patients with hepatitis B virus-related liver cirrhosis and spontaneous bacterial peritonitis.","OBJECTIVES: For mortality prediction of spontaneous bacterial peritonitis (SBP) in patients with cirrhosis, no direct comparisons have been made among the eight models, Child-Turcotte-Pugh (CTP) score, model for end-stage liver disease (MELD), MELD-Na, integrated MELD (iMELD) score, MELD to sodium (MESO) index, modification of the MELD scoring system (Refit MELD), Refit MELD-Na and Albumin-Bilirubin (ALBI) score.MATERIALS AND METHODS: Between January 2005 and July 2017, 314 patients who met the criteria for liver cirrhosis with the first episode of SBP were enrolled in this retrospective study. Clinical and laboratory data were obtained at diagnosis. Patients were followed up until February 2018 or death.RESULTS: Patients were predominantly middle-aged male. Hepatitis B virus (HBV) infection accounted for the majority of the etiologies (41.7%) with 33.6% of the patients received antivirals. The in-hospital mortality rate was 39.8%. The cumulative 3-month and 6-month mortality rates were 51.6 and 60.2%, respectively. For patients with HBV related, not hepatitis C virus or alcohol related, liver cirrhosis, iMELD had the highest area under receiver operating characteristic curve (AUC) and was significantly superior to MELD, MESO, and Refit MELD in addition to CTP and ALBI scores in predicting 3-month and 6-month mortality.CONCLUSION: For patients with HBV-related liver cirrhosis and SBP, iMELD had the highest AUC among these eight models and was significantly superior to MELD, MESO, and Refit MELD in addition to CTP and ALBI scores in predicting 3-month and 6-month mortalities.","31498284"
"Editorial: tenofovir disoproxil fumarate and prevention of mother-to-child transmission of hepatitis B virus.","","31456302"
"Editorial: tenofovir disoproxil fumarate and prevention of mother-to-child transmission of hepatitis B virus-authors' reply.","","31456299"
"Quasispecies characteristic in &quot;a&quot; determinant region is a potential predictor for the risk of immunoprophylaxis failure of mother-to-child-transmission of sub-genotype C2 hepatitis B virus: a prospective nested case-control study.","OBJECTIVE: This study was performed to explore the correlation between the characteristics of hepatitis B virus (HBV) quasispecies in HBV-infected pregnant women and the risk of immunoprophylaxis failure for their infants.DESIGN: In this prospective nested case-control study, the characteristics of HBV quasispecies in mothers whose infants were immunoprophylaxis success (control group) and those whose infants were immunoprophylaxis failure (case group) were analysed by the clone-based sequencing of full-length HBV genome and next-generation sequencing (NGS) of &quot;a&quot; determinant region, and were compared between the two groups.RESULTS: The quasispecies characteristics including mutant frequency, Shannon entropy and mean genetic distance at amino acid level of &quot;a&quot; determinant region were significantly lower in case group than that in control group, using the full-length HBV genome clone-based sequencing assay. These results were confirmed by NGS assay. Notably, we discovered that the differences were also significant at nucleotide level by NGS assay. Furthermore, the risk of immunoprophylaxis failure could be predicted by analysing the three HBV quasispecies characteristics either at nucleotide level or at amino acid level of &quot;a&quot; determinant region, and the corresponding predictive values were tentatively set up.CONCLUSIONS: HBV quasispecies with a more complex mutant spectrum in &quot;a&quot; determinant region might be more vulnerable to extinct through mother-to-child-transmission (MTCT). More importantly, analysing HBV quasispecies characteristics in pregnant women with high HBV DNA load might be helpful to predict the high-risk population of immunoprophylaxis failure, and consequently provide accurate intervention against MTCT of HBV.","31446427"
"Adoption of hepatitis C virus-infected donor hearts: A &quot;middle child&quot; no more.","","31420158"
"Efficacy and safety of telbivudine to prevent mother-to-child transmission of hepatitis B virus in middle- and late-stage pregnancy with high viral loads.","To observe the efficacy and safety of telbivudine on mother-infant blockade in pregnant women with hepatitis B virus (HBV) DNA.</AbstractText>: To observe the efficacy and safety of telbivudine on mother-infant blockade in pregnant women with hepatitis B virus (HBV) DNA.There was no difference in HBV DNA levels between the two groups before treatment and 6 months after delivery (P<U+2009>&gt;<U+2009>.05). The HBV DNA level in the treatment group was significantly lower than that in the control group before delivery (P<U+2009>&lt;<U+2009>.05). Between the two groups, the HBV positive rate was statistically different between the two groups (P<U+2009>&lt;<U+2009>.05), and the difference of serum HBsAg of infants had statistical significance (P<U+2009>&lt;<U+2009>.05), but the safety of the telbivudine group was not significantly different from that of the control group (P<U+2009>&gt;<U+2009>.05).</AbstractText>: There was no difference in HBV DNA levels between the two groups before treatment and 6 months after delivery (P<U+2009>&gt;<U+2009>.05). The HBV DNA level in the treatment group was significantly lower than that in the control group before delivery (P<U+2009>&lt;<U+2009>.05). Between the two groups, the HBV positive rate was statistically different between the two groups (P<U+2009>&lt;<U+2009>.05), and the difference of serum HBsAg of infants had statistical significance (P<U+2009>&lt;<U+2009>.05), but the safety of the telbivudine group was not significantly different from that of the control group (P<U+2009>&gt;<U+2009>.05).The application of telbivudine antiviral therapy in the middle and late stage of pregnancy of HBV high-load pregnant women can significantly reduce the HBV DNA level before delivery, reduce the mother-to-child transmission rate of HBV, and have excellent security.</AbstractText>: The application of telbivudine antiviral therapy in the middle and late stage of pregnancy of HBV high-load pregnant women can significantly reduce the HBV DNA level before delivery, reduce the mother-to-child transmission rate of HBV, and have excellent security.","31397488"
"Telbivudine Treatment during Late Pregnancy Prevents Mother-to-Child Transmission of Hepatitis B Virus: A Retrospective Study.","To investigate the efficacy of telbivudine (LdT) in blocking mother-to-child transmission (MTCT) of hepatitis B virus (HBV) during late pregnancy.</AbstractText>: To investigate the efficacy of telbivudine (LdT) in blocking mother-to-child transmission (MTCT) of hepatitis B virus (HBV) during late pregnancy.","31380321"
"Outcomes of the national programme on prevention of mother-to-child transmission of hepatitis B virus in China, 2016-2017.","BACKGROUND: In addition to providing free hepatitis B vaccine (HBvacc) series to all infants in China since 2005, the national programme on prevention of mother-to-child transmission (PMTCT) of hepatitis B virus (HBV) started providing free hepatitis B immunoglobulin for all new-borns born to hepatitis B surface-antigen (HBsAg) positive mothers in 2010. However, few studies have evaluated the effectiveness of the PMTCT programme. Therefore, we aimed to investigate the outcomes of the programme and identify associated factors.METHOD: Using a cross-sectional study design, we collected data on 4112 pairs of HBsAg-positive mothers and their children aged 7-22<U+2009>months in four representative provinces through interviews and medical record review. We tested HBsAg and hepatitis B surface antibody (anti-HBs) of children by enzyme-linked immunosorbent assay at designated maternal and child hospital laboratories. We used logistic regression to analyse factors associated with child HBsAg and anti-HBs positivity.RESULTS: Thirty-five children were HBsAg positive, indicating the mother-to-child transmission (MTCT) rate was 0.9% (0.6-1.1%). The anti-HBs positive rate was 96.8% (96.3-97.4%). Children receiving HBvacc between 12 and 24<U+2009>h of birth were 2.9 times more likely to be infected than those vaccinated in less than 12<U+2009>h (adjusted odds ratio [aOR]<U+2009>=<U+2009>2.9, 95% confidence interval [CI]: 1.4-6.3, P<U+2009>=<U+2009>0.01). Maternal hepatitis B e-antigen (HBeAg) positivity was associated with higher MTCT rate (aOR<U+2009>=<U+2009>79.1, 95% CI: 10.8-580.2, P<U+2009>&lt;<U+2009> 0.001) and lower anti-HBs positive rate (aOR<U+2009>=<U+2009>0.4, 95% CI: 0.3-0.6, P<U+2009>&lt;<U+2009> 0.001). Children with low birth weight (LBW) were 60% less likely to be anti-HBs positive than those with normal birth weight (aOR<U+2009>=<U+2009>0.4, 95% CI: 0.2-0.8, P<U+2009>=<U+2009>0.01).CONCLUSIONS: The MTCT rate was lower than the 2030 WHO elimination goal, which implies the programme is on track to achieve this target. As earlier HBvacc birth dose (HBvcc-BD) was associated with lower MTCT rate, we suggest that the PMTCT programme work with the Expanded Programme on Immunization (EPI) to modify the current recommendation for early HBvcc-BD to a requirement. Our finding that LBW was associated with lower anti-HBs positivity points to the need for further studies to understand factors associated with these risks and opportunities for program strengthening. The programme needs to ensure providing essential test to identify HBeAg-positive mothers and their infants and provide them with appropriate medical care and follow-up.","31378202"
"Letter: tenofovir disoproxil fumarate is safe for prevention of mother-to-child transmission of hepatitis B virus. Authors' reply.","","31359484"
"Letter: tenofovir disoproxil fumarate is safe for prevention of mother-to-child transmission of hepatitis B virus.","","31359470"
NA,"","31257091"
"Modelling cost-effectiveness of tenofovir for prevention of mother to child transmission of hepatitis B virus (HBV) infection in South Africa.","BACKGROUND: International sustainable development goals for the elimination of viral hepatitis as a public health problem by 2030 highlight the need to optimize strategies for prevention, diagnosis and treatment of hepatitis B virus (HBV) infection. An important priority for Africa is to have affordable, accessible and sustainable prevention of mother to child transmission (PMTCT) programmes, delivering screening and treatment for antenatal women and implementing timely administration of HBV vaccine for their babies.METHODS: We developed a decision-analytic model simulating 10,000 singleton pregnancies to assess the cost-effectiveness of three possible strategies for deployment of tenofovir in pregnancy, in combination with routine infant vaccination: S1: no screening nor antiviral therapy; S2: screening and antiviral prophylaxis for all women who test HBsAg-positive; S3: screening for HBsAg, followed by HBeAg testing and antiviral prophylaxis for women who are HBsAg-positive and HBeAg-positive. Our outcome was cost per infant HBV infection avoided and the analysis followed a healthcare perspective.RESULTS: Based on 10,000 pregnancies, S1 predicts 45 infants would be HBV-infected at six months of age, compared to 21 and 28 infants in S2 and S3, respectively. Relative to S1, S2 had an incremental cost of $3940 per infection avoided. S3 led to more infections and higher costs.CONCLUSION: Given the long-term health burden for individuals and economic burden for society associated with chronic HBV infection, screening pregnant women and providing tenofovir for all who test HBsAg+ may be a cost-effective strategy for South Africa and other low/middle income settings.","31242901"
"Hepatocellular carcinoma with vertebral metastasis in a child with hepatitis B virus infection: a case report.","BACKGROUND: Hepatocellular carcinoma in children with hepatitis B virus infection is rarely reported. Metastases to the vertebrae are an even more unusual phenomenon.CASE PRESENTATION: We report on a case of a 10-year-old Ethiopian boy with hepatitis B infection presenting with paraplegia and incontinence of 10 days' duration. A diagnosis of hepatocellular carcinoma with vertebral metastases was confirmed with serum a-fetoprotein, fine-needle aspirate cytology, and abdominal imaging.CONCLUSION: Surveillance of children not immunized against hepatitis B virus prevents infection and its complications, such as hepatocellular carcinoma. Among children in endemic countries prone to development of hepatocellular carcinoma, metastatic disease can present as sudden weakness of extremities with radiologic findings of vertebral body collapse.","31130140"
"Efficacy of antepartum administration of hepatitis B immunoglobulin in preventing mother-to-child transmission of hepatitis B virus.","","31087455"
"Real-Life State of Anti-Hepatitis B Virus Drug Choice in Child-Bearing Age Male Patients and Effect on Fertility and Fetal Safety.","Research on effects of anti-hepatitis B virus (HBV) nucleoside analogs on male fertility and birth defects is limited and safety of nucleoside analogs in pregnancy is still a concern. Chronic hepatitis B (CHB) patients in Guangdong province were surveyed using a structured questionnaire. We collected data including medication type, fertility, and birth defects. Moreover, a survey of the knowledge of antiviral nucleoside analogs safety in fertility of male patients was conducted among physicians nationwide. Semen samples of 30 patients were collected. We screened 1050 HBV-positive male patients. Reasons for not receiving antivirals in 150 patients were &quot;did not meet criteria for antiviral therapy,&quot; fertility, and financial. Furthermore, 900 participants received antivirals (85.71%, 900/1050), including 792 patients with children and 15.15% (120/792) took anti-HBV treatment when preparing for pregnancy. Based on whether they received antiviral therapy during conception or not, we divided patients into two groups. In the child-bearing age group, 88.33% (106/120) of patients received telbivudine (LDT), whereas the other group mainly received entecavir (ETV) (87.20%, 586/672). No significant difference occurred in birth defect incidence rates between both groups. Furthermore, 558 physicians completed questionnaires. Reasons that influenced drug selection were &quot;patient's condition,&quot; &quot;fertility demand,&quot; &quot;financial condition,&quot; and &quot;compliance.&quot; Telbivudine was the first-choice drug (32.80%, 183/558) while tenofovir (TDF) was the second (2.69%, 15/558). Additionally, 61.47% of physicians considered telbivudine or tenofovir as the first choice for male patients who met antiviral criteria, whereas 19% suggested delayed therapy and follow-up until childbirth. No significant changes occurred in semen volume, concentration, mobility, and percentage before and after administration of anti-HBV nucleoside analogs, which did not affect male fertility and birth defect incidence while the desire for pregnancy influenced drug selection and timing of administration. Further research on the effects of analogs on male fertility and fetal safety is required.","31058113"
"Hepatitis B virus infection: Prevention of mother-to-child transmission and exacerbation during pregnancy.","The aims of this study were to assess the effect of maternal screening for hepatitis B (HB) virus and a perinatal prevention program of mother-to-child transmission, and to identify clinical characteristics and findings associated with HB exacerbation during pregnancy. This prospective cohort study enrolled 3796 pregnant women and their neonates with informed consent. Pregnant women underwent maternal universal screening for HBs antigen (Ag) in the first trimester. If HBs Ag was positive, serum levels of HBe Ag, alanine transaminase (AST), aspartate aminotransferase (ALT), and HB virus (HBV) DNA were measured. All neonates delivered from HBs Ag-positive women were given HB immune globulin and HB vaccine based on the guidelines of the perinatal prevention program. Of the 3796 pregnant women, 40 (1.05%) tested positive for HBs Ag. Three (7.5%) of the 40 HBs Ag-positive women experienced exacerbation of HBV infection during pregnancy. Serum levels of AST (median 776 vs. 22 mIU/ml, p &lt; 0.01), ALT (median 325 vs. 15 mIU/ml, p &lt; 0.01), and HBV-DNA (median 9.1 vs. 5.4 log copies/ml, p &lt; 0.05), and frequencies of HBe Ag-positive (100% vs. 29.7%, p &lt; 0.05) and symptoms of itching or general fatigue (66.7% vs. 0%, p &lt; 0.01) in three women with exacerbation of HBV infection were significantly higher than those in 37 women without exacerbation. There was no case of mother-to-child transmission, suggesting the perinatal HBV prevention program was effective. Levels of HBe Ag, liver enzymes, and HBV-DNA as well as symptoms of itching and general fatigue should be carefully monitored for HBs Ag-positive women during pregnancy and the postpartum period.","30982723"
"Maternal and Infant Bone Mineral Density 1 Year After Delivery in a Randomized, Controlled Trial of Maternal Tenofovir Disoproxil Fumarate to Prevent Mother-to-child Transmission of Hepatitis B Virus.","In a randomized, double-blind, placebo-controlled trial of tenofovir disoproxil fumarate (TDF) use from 28 weeks gestational age to 2 months postpartum to prevent mother-to-child transmission of hepatitis B virus, there was no significant effect of maternal TDF use on maternal or infant bone mineral density 1 year after delivery/birth. Clinical Trials Registration. NCT01745822.","30924492"
